Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nc,71704650,0,"Monday, January  2, 2012 17:08:50 UTC",38.8307,-122.8068,1.0,2.20,19,"Northern California"
nc,71704640,0,"Monday, January  2, 2012 16:41:26 UTC",38.8345,-122.8000,1.2,2.00,17,"Northern California"
nc,71704635,0,"Monday, January  2, 2012 16:30:31 UTC",39.7960,-123.5638,2.1,6.30, 8,"Northern California"
ci,11049021,0,"Monday, January  2, 2012 16:30:21 UTC",33.0337,-116.4345,1.2,8.90,37,"Southern California"
ci,11049013,0,"Monday, January  2, 2012 16:22:45 UTC",35.9475,-117.6375,1.0,3.90,13,"Central California"
ci,11049005,0,"Monday, January  2, 2012 16:15:50 UTC",34.0390,-117.1413,1.5,13.30,25,"Greater Los Angeles area, California"
nc,71704610,1,"Monday, January  2, 2012 16:04:21 UTC",38.8323,-122.7940,1.7,2.40,24,"Northern California"
nc,71704595,0,"Monday, January  2, 2012 15:55:27 UTC",38.8310,-122.7927,1.5,2.10,17,"Northern California"
nc,71704590,1,"Monday, January  2, 2012 15:54:43 UTC",38.8322,-122.7987,3.0,2.40,61,"Northern California"
ci,11048989,0,"Monday, January  2, 2012 15:38:22 UTC",36.1612,-117.8522,1.4,3.50,14,"Central California"
ak,10383708,1,"Monday, January  2, 2012 15:23:25 UTC",61.4604,-150.0910,2.7,40.30,35,"Southern Alaska"
ak,10383704,1,"Monday, January  2, 2012 15:18:36 UTC",63.6049,-150.7014,1.1,15.90, 5,"Central Alaska"
nc,71704580,1,"Monday, January  2, 2012 14:43:58 UTC",38.8095,-122.8163,1.3,2.80,25,"Northern California"
ci,11048973,0,"Monday, January  2, 2012 14:25:16 UTC",35.9433,-117.6357,1.3,3.80,11,"Central California"
ak,10383683,1,"Monday, January  2, 2012 14:23:52 UTC",59.3911,-153.3126,2.3,107.70,25,"Southern Alaska"
ak,10383677,1,"Monday, January  2, 2012 14:14:56 UTC",62.2014,-149.3516,2.1,10.40,11,"Central Alaska"
nc,71704555,1,"Monday, January  2, 2012 13:45:43 UTC",38.8208,-122.7963,1.1,2.80,25,"Northern California"
ak,10383666,1,"Monday, January  2, 2012 13:21:23 UTC",63.0002,-148.5925,3.2,15.00,45,"Central Alaska"
ci,11048933,0,"Monday, January  2, 2012 13:20:48 UTC",36.1370,-117.8335,1.2,6.60,15,"Central California"
pr,12002001,0,"Monday, January  2, 2012 13:20:34 UTC",17.8889,-65.2320,2.6,4.20, 8,"Puerto Rico region"
pr,12001003,0,"Monday, January  2, 2012 13:10:29 UTC",19.0709,-65.1269,3.3,12.00,10,"Virgin Islands region"
us,c0007fmz,6,"Monday, January  2, 2012 13:07:08 UTC",-3.4063,150.7234,4.7,10.00,22,"New Ireland region, Papua New Guinea"
ci,11048925,0,"Monday, January  2, 2012 12:58:42 UTC",35.9523,-117.6422,1.8,3.80,29,"Central California"
ak,10383662,1,"Monday, January  2, 2012 12:50:08 UTC",62.7685,-150.4356,2.0,130.10,12,"Central Alaska"
ci,11048917,0,"Monday, January  2, 2012 12:37:40 UTC",32.7980,-116.1498,1.3,7.40,42,"Southern California"
hv,60295326,1,"Monday, January  2, 2012 12:25:35 UTC",19.3528,-155.0463,3.0,0.00,19,"Island of Hawaii, Hawaii"
ci,11048909,0,"Monday, January  2, 2012 11:57:10 UTC",35.9732,-117.5880,1.4,2.10,21,"Central California"
pr,12001004,0,"Monday, January  2, 2012 11:53:26 UTC",19.0125,-65.1047,3.0,52.00,10,"Virgin Islands region"
nc,71704530,0,"Monday, January  2, 2012 11:32:59 UTC",38.8082,-122.7918,1.2,2.90,19,"Northern California"
ci,11048901,0,"Monday, January  2, 2012 11:18:32 UTC",35.9457,-117.6292,1.4,5.50,10,"Central California"
ci,11048893,0,"Monday, January  2, 2012 11:18:05 UTC",35.9485,-117.6382,2.1,4.00,28,"Central California"
ak,10383647,1,"Monday, January  2, 2012 11:11:24 UTC",62.2363,-145.8149,2.4,0.00,14,"Central Alaska"
ak,10383644,1,"Monday, January  2, 2012 11:08:46 UTC",61.3401,-147.0147,2.3,4.80,20,"Southern Alaska"
pr,12002002,0,"Monday, January  2, 2012 10:42:01 UTC",18.9333,-65.1116,2.9,61.00, 8,"Virgin Islands region"
nc,71704510,0,"Monday, January  2, 2012 10:41:52 UTC",38.8245,-122.7968,1.0,3.10,17,"Northern California"
pr,12002000,0,"Monday, January  2, 2012 10:40:33 UTC",18.9620,-65.1125,2.7,58.00, 8,"Virgin Islands region"
ci,11048869,0,"Monday, January  2, 2012 10:35:38 UTC",33.3992,-116.2735,1.1,6.50,38,"Southern California"
ak,10383635,2,"Monday, January  2, 2012 10:32:28 UTC",54.6225,-163.5314,2.1,9.30,17,"Unimak Island region, Alaska"
ci,11048861,0,"Monday, January  2, 2012 10:18:44 UTC",34.0230,-116.6343,1.0,11.50,40,"Southern California"
ak,10383630,2,"Monday, January  2, 2012 09:49:49 UTC",63.1192,-150.7754,2.0,116.40,34,"Central Alaska"
us,c0007fm8,3,"Monday, January  2, 2012 09:39:57 UTC",16.3800,-46.5800,4.8,10.00, 0,"northern Mid-Atlantic Ridge"
ci,11048837,0,"Monday, January  2, 2012 08:56:35 UTC",35.6040,-118.3200,1.4,4.90,21,"Central California"
us,c0007flv,7,"Monday, January  2, 2012 08:55:12 UTC",51.8671,178.3976,4.9,89.60,234,"Rat Islands, Aleutian Islands, Alaska"
ci,11048821,0,"Monday, January  2, 2012 08:38:41 UTC",33.4952,-116.4372,1.1,19.00,34,"Southern California"
ak,10383609,1,"Monday, January  2, 2012 08:34:27 UTC",60.9290,-151.3007,2.4,46.60,29,"Kenai Peninsula, Alaska"
ak,10383607,1,"Monday, January  2, 2012 08:27:59 UTC",60.8366,-151.8737,1.8,93.70,19,"Kenai Peninsula, Alaska"
nc,71704430,1,"Monday, January  2, 2012 07:42:31 UTC",38.8097,-122.8085,1.8,1.00,31,"Northern California"
ci,11048789,0,"Monday, January  2, 2012 07:18:09 UTC",33.8497,-117.8192,1.3,10.90,28,"Greater Los Angeles area, California"
ci,11048773,0,"Monday, January  2, 2012 07:11:39 UTC",33.4230,-116.8365,1.3,16.40,63,"Southern California"
nc,71704425,1,"Monday, January  2, 2012 07:02:46 UTC",40.2972,-124.4008,2.8,16.30, 9,"offshore Northern California"
nc,71704420,1,"Monday, January  2, 2012 06:53:27 UTC",36.5665,-121.1585,2.2,4.00,29,"Central California"
ak,10383585,1,"Monday, January  2, 2012 06:38:31 UTC",59.8058,-152.6636,2.7,71.50,29,"Southern Alaska"
ci,11048749,0,"Monday, January  2, 2012 06:36:29 UTC",33.5505,-118.0220,2.0,0.10,38,"Gulf of Santa Catalina, California"
us,c0007fl2,6,"Monday, January  2, 2012 05:59:14 UTC",-43.4530,172.8974,4.5,13.20,28,"South Island of New Zealand"
nc,71704385,1,"Monday, January  2, 2012 05:24:23 UTC",38.8323,-122.8107,1.9,2.30,32,"Northern California"
ci,11048733,0,"Monday, January  2, 2012 05:12:56 UTC",33.6807,-116.7007,1.3,20.00,54,"Southern California"
nc,71704380,0,"Monday, January  2, 2012 05:09:15 UTC",38.8452,-122.8267,1.1,2.50,21,"Northern California"
ak,10383570,1,"Monday, January  2, 2012 04:58:38 UTC",62.1964,-145.6060,3.0,152.80,15,"Central Alaska"
ak,10383560,1,"Monday, January  2, 2012 04:04:11 UTC",61.7463,-151.6835,2.4,90.70,19,"Southern Alaska"
nc,71704340,0,"Monday, January  2, 2012 03:57:59 UTC",38.7725,-122.7188,1.1,3.10,11,"Northern California"
nc,71704330,1,"Monday, January  2, 2012 03:25:31 UTC",38.8168,-122.8188,1.5,2.70,28,"Northern California"
ci,11048717,0,"Monday, January  2, 2012 03:09:12 UTC",33.9513,-116.7653,2.4,18.60,152,"Southern California"
ci,11048709,0,"Monday, January  2, 2012 02:47:32 UTC",32.7993,-116.2455,1.5,14.60,25,"Southern California"
ak,10383542,1,"Monday, January  2, 2012 02:19:15 UTC",63.5097,-150.8639,1.0,14.00, 5,"Central Alaska"
ak,10383539,1,"Monday, January  2, 2012 02:16:35 UTC",63.5430,-150.7810,1.5,6.50,11,"Central Alaska"
ak,10383533,1,"Monday, January  2, 2012 01:30:32 UTC",61.5289,-149.6862,2.2,35.40,16,"Southern Alaska"
ak,10383531,2,"Monday, January  2, 2012 01:29:05 UTC",54.6294,-161.2736,2.0,25.30,11,"Alaska Peninsula"
ak,10383525,1,"Monday, January  2, 2012 01:26:06 UTC",61.7423,-149.8933,1.9,34.40,13,"Southern Alaska"
ci,11048685,0,"Monday, January  2, 2012 01:24:54 UTC",34.0092,-116.3257,1.5,12.20,30,"Southern California"
ak,10383526,1,"Monday, January  2, 2012 01:24:52 UTC",63.1731,-148.4598,1.5,7.70, 4,"Central Alaska"
ci,11048677,0,"Monday, January  2, 2012 01:04:20 UTC",34.5245,-116.2532,1.8,6.80,41,"Southern California"
ak,10383514,1,"Monday, January  2, 2012 00:52:56 UTC",64.8497,-148.7898,2.0,13.60, 7,"Central Alaska"
nc,71704275,1,"Monday, January  2, 2012 00:52:49 UTC",38.8165,-122.8210,2.0,2.50,42,"Northern California"
ak,10383509,1,"Monday, January  2, 2012 00:30:11 UTC",63.3369,-151.2756,1.5,14.40, 7,"Central Alaska"
ci,11048669,0,"Monday, January  2, 2012 00:26:53 UTC",33.9398,-117.0747,1.1,16.50,53,"Greater Los Angeles area, California"
ci,11048661,0,"Monday, January  2, 2012 00:16:09 UTC",35.0433,-117.6588,1.6,2.80,22,"Southern California"
us,2012vfbm,8,"Sunday, January  1, 2012 23:57:21 UTC",44.9970,23.5610,4.2,33.20,46,"Romania"
ci,11048653,0,"Sunday, January  1, 2012 23:56:22 UTC",34.5357,-118.8395,1.8,5.60,16,"Southern California"
ci,11048629,0,"Sunday, January  1, 2012 23:26:01 UTC",34.7247,-119.3052,2.1,1.20,30,"Southern California"
nc,71704250,0,"Sunday, January  1, 2012 23:21:02 UTC",38.7867,-122.7765,1.2,1.50,19,"Northern California"
nc,71704245,0,"Sunday, January  1, 2012 23:09:46 UTC",38.8142,-122.8257,1.1,2.70,17,"Northern California"
us,c0007fis,6,"Sunday, January  1, 2012 22:59:13 UTC",-14.3528,166.8867,5.1,32.20,37,"Vanuatu"
ci,11048621,0,"Sunday, January  1, 2012 22:53:20 UTC",33.8333,-117.6295,1.4,5.00,31,"Greater Los Angeles area, California"
ak,10383496,2,"Sunday, January  1, 2012 21:55:38 UTC",60.2277,-152.7273,2.0,105.10,21,"Southern Alaska"
nc,71704215,1,"Sunday, January  1, 2012 21:49:18 UTC",38.8975,-122.9040,1.9,3.60,36,"Northern California"
ak,10383492,1,"Sunday, January  1, 2012 21:39:40 UTC",60.1571,-151.9271,1.9,65.40,14,"Kenai Peninsula, Alaska"
nc,71704205,0,"Sunday, January  1, 2012 21:38:22 UTC",38.8277,-122.8540,1.0,1.80,19,"Northern California"
ak,10383484,1,"Sunday, January  1, 2012 21:27:00 UTC",61.4310,-146.4654,2.3,14.70,27,"Southern Alaska"
nc,71704195,1,"Sunday, January  1, 2012 21:09:38 UTC",37.5313,-118.8182,1.5,7.10,23,"Central California"
us,c0007fhv,7,"Sunday, January  1, 2012 21:07:28 UTC",2.1232,128.3429,5.0,87.10,65,"Halmahera, Indonesia"
ci,11048589,0,"Sunday, January  1, 2012 20:11:26 UTC",32.6697,-115.9267,1.8,5.40,11,"Southern California"
nc,71704185,1,"Sunday, January  1, 2012 20:06:21 UTC",38.7635,-122.7408,2.0,1.80,39,"Northern California"
ci,11048581,0,"Sunday, January  1, 2012 20:04:25 UTC",34.1287,-116.9460,1.6,0.00,60,"Southern California"
nc,71704175,0,"Sunday, January  1, 2012 20:02:19 UTC",35.7473,-120.2868,1.3,8.60,11,"Central California"
nc,71704160,1,"Sunday, January  1, 2012 19:45:45 UTC",38.7653,-122.7398,1.8,1.80,35,"Northern California"
ci,11048565,0,"Sunday, January  1, 2012 19:34:35 UTC",32.6608,-115.9485,1.8,3.30,32,"Southern California"
ci,11048557,0,"Sunday, January  1, 2012 19:33:00 UTC",33.4752,-116.7563,1.1,9.60,44,"Southern California"
us,c0007fh2,5,"Sunday, January  1, 2012 19:32:51 UTC",-5.1318,154.3034,4.9,146.00,31,"Bougainville region, Papua New Guinea"
